gameId,target,distractor,trial,targetNum,repNum,response,correct,listener,speaker,game,exclude,exclusion_reason,words,all_words,type,expt,speaker_gender,speaker_age,listener_gender,listener_age,time.sec
kduAREQdY39j2SgoC,walk,jump,6,2,1,walk,1,id29,id30,game49,NA,NA,2,2,block 2,1,female,51,female,55,28.407
kduAREQdY39j2SgoC,jump,swim,7,3,1,swim,0,id30,id29,game49,NA,NA,3,3,block 2,1,female,55,female,51,11.027
kduAREQdY39j2SgoC,walk,jump,8,0,2,walk,1,id29,id30,game49,NA,NA,5,5,block 3,1,female,51,female,55,107.607
kduAREQdY39j2SgoC,jump,walk,9,1,2,jump,1,id30,id29,game49,NA,NA,3,3,block 3,1,female,55,female,51,12.166
kduAREQdY39j2SgoC,hold,jump,10,2,2,hold,1,id29,id30,game49,NA,NA,2,2,block 3,1,female,51,female,55,3.865
kduAREQdY39j2SgoC,swim,walk,11,3,2,swim,1,id30,id29,game49,NA,NA,2,2,block 3,1,female,55,female,51,8.038
9uKTejKqe3TNXkfAW,walk,hold,0,0,0,walk,1,id31,id32,game50,NA,NA,2,2,block 1,1,female,53,female,65,10.93
9uKTejKqe3TNXkfAW,swim,jump,1,1,0,swim,1,id32,id31,game50,NA,NA,2,5,block 1,1,female,65,female,53,13.87
9uKTejKqe3TNXkfAW,hold,walk,2,2,0,hold,1,id31,id32,game50,NA,NA,4,4,block 1,1,female,53,female,65,13.98
9uKTejKqe3TNXkfAW,jump,hold,3,3,0,jump,1,id32,id31,game50,NA,NA,2,2,block 1,1,female,65,female,53,22.631
9uKTejKqe3TNXkfAW,jump,swim,4,0,1,jump,1,id31,id32,game50,NA,NA,5,5,block 2,1,female,53,female,65,13.777
9uKTejKqe3TNXkfAW,swim,hold,5,1,1,swim,1,id32,id31,game50,NA,NA,1,1,block 2,1,female,65,female,53,7.762
9uKTejKqe3TNXkfAW,hold,swim,6,2,1,hold,1,id31,id32,game50,NA,NA,4,5,block 2,1,female,53,female,65,10.207
9uKTejKqe3TNXkfAW,walk,jump,7,3,1,walk,1,id32,id31,game50,NA,NA,2,4,block 2,1,female,65,female,53,10.223
9uKTejKqe3TNXkfAW,jump,walk,8,0,2,jump,1,id31,id32,game50,NA,NA,5,6,block 3,1,female,53,female,65,8.805
9uKTejKqe3TNXkfAW,hold,jump,9,1,2,hold,1,id32,id31,game50,NA,NA,4,4,block 3,1,female,65,female,53,7.951
